Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-10-13,YESBANK,EQ,67.2,67.3,67.85,65.4,65.6,65.65,66.56,1566298,10426006525000.0,,929987,0.5937
2005-10-14,YESBANK,EQ,65.65,66.25,66.25,64.25,64.6,64.7,64.87,1277885,8289808120000.0,,930449,0.7281000000000001
2005-10-17,YESBANK,EQ,64.7,65.5,65.5,62.75,63.05,63.0,63.71,1115967,7110281355000.0,,867253,0.7770999999999999
2005-10-18,YESBANK,EQ,63.0,63.6,66.15,63.05,65.7,65.7,65.3,977158,6381260095000.0,,587844,0.6016
2005-10-19,YESBANK,EQ,65.7,64.45,65.9,63.2,65.25,64.7,64.79,964550,6249695440000.0,,679324,0.7043
2005-10-20,YESBANK,EQ,64.7,65.6,66.0,64.0,64.5,64.65,64.99,815875,5302614900000.0,,634476,0.7777
2005-10-21,YESBANK,EQ,64.65,65.0,65.0,62.15,63.8,63.55,63.2,688251,4349845850000.0,,474042,0.6888
2005-10-24,YESBANK,EQ,63.55,64.0,66.0,64.0,64.0,64.55,64.91,355469,2307344140000.0,,229515,0.6456999999999999
2005-10-25,YESBANK,EQ,64.55,65.15,65.8,64.0,65.0,65.05,64.83,326906,2119304880000.0,,218080,0.6670999999999999
2005-10-26,YESBANK,EQ,65.05,65.75,65.75,64.5,65.05,65.4,65.16,252912,1647961430000.0,,177120,0.7003
2005-10-27,YESBANK,EQ,65.4,65.0,65.35,64.5,65.3,65.1,65.02,241879,1572796120000.0,,183673,0.7594
2005-10-28,YESBANK,EQ,65.1,64.95,65.45,63.05,63.65,63.45,63.53,536839,3410378135000.0,,409929,0.7636000000000001
2005-10-31,YESBANK,EQ,63.45,63.95,65.3,63.5,65.2,64.95,64.36,162927,1048631835000.0,,99610,0.6114
2005-11-01,YESBANK,EQ,64.95,66.1,67.0,65.0,65.7,65.9,65.91,87369,575826235000.0,,60463,0.6920000000000001
2005-11-02,YESBANK,EQ,65.9,66.2,66.2,64.5,66.0,65.85,65.65,206123,1353262900000.0,,134164,0.6509
2005-11-07,YESBANK,EQ,65.85,66.0,66.0,65.0,65.05,65.4,65.53,197479,1294166835000.0,,140498,0.7115
2005-11-08,YESBANK,EQ,65.4,65.8,66.65,64.85,65.3,65.3,65.63,229509,1506209720000.0,,126546,0.5514
2005-11-09,YESBANK,EQ,65.3,66.0,66.2,64.8,65.15,65.0,65.26,243364,1588309135000.0,,160605,0.6598999999999999
2005-11-10,YESBANK,EQ,65.0,65.2,65.7,65.0,65.0,65.2,65.2,114406,745965195000.0,,64406,0.563
2005-11-11,YESBANK,EQ,65.2,65.8,66.95,65.3,66.35,66.5,66.31,324386,2151053064999.9998,,180790,0.5573
2005-11-14,YESBANK,EQ,66.5,67.0,67.75,65.25,65.25,65.85,66.35,157509,1045042605000.0001,,81653,0.5184000000000001
2005-11-16,YESBANK,EQ,65.85,66.1,67.05,65.5,65.75,66.05,66.33,168455,1117442515000.0,,70617,0.4192
2005-11-17,YESBANK,EQ,66.05,66.65,67.5,66.0,66.05,66.2,66.4,199381,1323838245000.0,,103918,0.5212
2005-11-18,YESBANK,EQ,66.2,66.0,67.1,66.0,66.1,66.2,66.56,183448,1221034255000.0,,102268,0.5575
2005-11-21,YESBANK,EQ,66.2,67.0,69.2,65.0,67.5,67.6,67.78,597370,4049015925000.0,,284503,0.47630000000000006
2005-11-22,YESBANK,EQ,67.6,68.5,68.5,67.1,67.5,67.55,67.69,249899,1691589100000.0,,149502,0.5982000000000001
2005-11-23,YESBANK,EQ,67.55,67.7,68.3,67.65,68.05,68.0,67.98,281368,1912681975000.0,,203128,0.7219
2005-11-24,YESBANK,EQ,68.0,68.7,68.7,67.65,68.0,68.0,67.99,341171,2319788380000.0,,302710,0.8873000000000001
2005-11-25,YESBANK,EQ,68.0,68.3,69.8,67.8,68.25,68.05,68.3,523542,3575847804999.9995,,437398,0.8355
2005-11-26,YESBANK,EQ,68.05,68.7,69.3,68.3,68.5,68.5,68.78,288081,1981334139999.9998,,173580,0.6025
2005-11-28,YESBANK,EQ,68.5,68.6,68.95,67.5,68.0,68.0,68.17,333813,2275684710000.0,,268220,0.8035
2005-11-29,YESBANK,EQ,68.0,67.7,68.6,66.5,67.9,67.95,67.53,192883,1302586620000.0,,128642,0.6668999999999999
2005-11-30,YESBANK,EQ,67.95,67.6,68.8,67.0,67.3,67.2,67.93,332560,2258960955000.0,,252543,0.7594
2005-12-01,YESBANK,EQ,67.2,66.5,68.7,66.5,68.0,68.35,67.85,218075,1479741240000.0,,161890,0.7424
2005-12-02,YESBANK,EQ,68.35,68.25,71.1,68.1,69.25,69.3,70.05,1439648,10084814820000.0,,913774,0.6347
2005-12-05,YESBANK,EQ,69.3,69.6,70.8,69.0,70.1,70.05,70.04,492852,3451707910000.0,,351185,0.7126
2005-12-06,YESBANK,EQ,70.05,70.1,70.35,70.0,70.15,70.1,70.09,291538,2043530650000.0,,197176,0.6763
2005-12-07,YESBANK,EQ,70.1,70.2,70.75,70.0,70.2,70.25,70.24,195090,1370392040000.0,,149718,0.7674
2005-12-08,YESBANK,EQ,70.25,70.8,71.4,70.25,70.75,70.9,70.87,273673,1939460060000.0002,,166220,0.6074
